benchmark,input_size,rank,opcode,mean_count,percentage_of_total
objects,1000,6,OP_RETURN,1003.0,4.354054523354749
objects,1000,7,OP_NIL,1001.0,4.3453724604966135
objects,1000,8,OP_LESS,1001.0,4.3453724604966135
objects,1000,9,OP_SET_PROPERTY,1001.0,4.3453724604966135
objects,1000,10,OP_INVOKE,1001.0,4.3453724604966135
objects,10000,1,OP_GET_GLOBAL,40005.0,17.390756229459736
objects,10000,2,OP_POP,40003.0,17.389886800326906
objects,10000,3,OP_CONSTANT,20003.0,8.695595472013077
objects,10000,4,OP_GET_LOCAL,20003.0,8.695595472013077
objects,10000,5,OP_ADD,20000.0,8.69429132831383
objects,10000,6,OP_RETURN,10003.0,4.348449807856162
objects,10000,7,OP_NIL,10001.0,4.34758037872333
objects,10000,8,OP_LESS,10001.0,4.34758037872333
objects,10000,9,OP_SET_PROPERTY,10001.0,4.34758037872333
objects,10000,10,OP_INVOKE,10001.0,4.34758037872333
objects,100000,1,OP_GET_GLOBAL,400005.0,17.391249528268254
objects,100000,2,OP_POP,400003.0,17.39116257310755
objects,100000,3,OP_CONSTANT,200003.0,8.695646502924301
objects,100000,4,OP_GET_LOCAL,200003.0,8.695646502924301
objects,100000,5,OP_ADD,200000.0,8.695516070183249
objects,100000,6,OP_RETURN,100003.0,4.347888467832677
objects,100000,7,OP_NIL,100001.0,4.347801512671976
objects,100000,8,OP_LESS,100001.0,4.347801512671976
objects,100000,9,OP_SET_PROPERTY,100001.0,4.347801512671976
objects,100000,10,OP_INVOKE,100001.0,4.347801512671976
objects,1000000,1,OP_GET_GLOBAL,4000005.0,17.39129886579308
objects,1000000,2,OP_POP,4000003.0,17.391290170154516
objects,1000000,3,OP_CONSTANT,2000003.0,8.69565160680618
objects,1000000,4,OP_GET_LOCAL,2000003.0,8.69565160680618
objects,1000000,5,OP_ADD,2000000.0,8.695638563348336
objects,1000000,6,OP_RETURN,1000003.0,4.347832325132013
objects,1000000,7,OP_NIL,1000001.0,4.347823629493449
objects,1000000,8,OP_LESS,1000001.0,4.347823629493449
objects,1000000,9,OP_SET_PROPERTY,1000001.0,4.347823629493449
objects,1000000,10,OP_INVOKE,1000001.0,4.347823629493449
recursion,20,1,OP_GET_LOCAL,54727.0,19.230255667842634
recursion,20,2,OP_CONSTANT,43782.0,15.38434508833823
recursion,20,3,OP_GET_GLOBAL,21892.0,7.692523929329416
